lsoacode_2011,totalpop_2015
E01001541,1523
E01001542,1600
E01001543,1599
E01001544,1659
E01001545,1897
E01001546,1897
E01001547,2030
E01001548,1916
E01001549,2072
E01001550,1680
E01001551,1782
E01001552,1845
E01001553,1772
E01001554,1941
E01001555,2039
E01001556,1691
E01001557,1734
E01001558,1781
E01001559,2244
E01001560,1671
E01001562,2231
E01001563,1728
E01001564,1666
E01001565,1806
E01001566,1686
E01001567,1634
E01001568,1532
E01001569,1954
E01001570,2014
E01032574,2213
E01033146,1751
E01033148,1971
E01033150,1938
E01033151,1562
E01001571,1793
E01001572,1827
E01001573,1619
E01001574,2089
E01001575,1717
E01001576,1855
E01001577,2085
E01001578,2302
E01001579,1648
E01001580,1733
E01001581,1634
E01001582,1490
E01001583,1638
E01001584,1543
E01001585,1504
E01001586,1453
E01001587,2165
E01001588,1729
E01001589,1833
E01001590,1741
E01001591,2076
E01001592,1843
E01001593,1751
E01001594,1992
E01001595,2226
E01001596,1609
E01001597,1613
E01001598,1605
E01001599,1793
E01001600,1649
E01001601,1563
E01001602,1956
E01001603,1736
E01001604,1499
E01001605,1637
E01001606,1696
E01001607,1618
E01001608,1486
E01001609,1678
E01001610,1703
E01001611,1732
E01001613,1639
E01001614,1446
E01001615,1588
E01001617,1631
E01001618,1758
E01001619,1954
E01001620,1561
E01001621,1691
E01001623,1785
E01001624,1523
E01001625,1647
E01001629,2376
E01001631,2260
E01001632,2624
E01001633,1663
E01001634,1740
E01001635,1737
E01001636,1878
E01001637,1963
E01001638,2106
E01001640,3227
E01001641,1873
E01001642,1693
E01001644,2339
E01001645,1650
E01001646,2657
E01001647,1474
E01001648,1708
E01001649,1619
E01001650,1793
E01001651,1742
E01001652,1631
E01001653,1631
E01001654,1602
E01001655,1672
E01001656,1313
E01001657,1728
E01001658,1689
E01001659,1446
E01001660,1678
E01001661,1581
E01001662,2077
E01001664,1939
E01001665,2052
E01001666,1492
E01001667,1568
E01001668,2722
E01001669,2152
E01001671,1687
E01001672,2027
E01001673,2061
E01001674,2198
E01001675,2118
E01001676,1963
E01001677,2258
E01001678,1723
E01001679,1501
E01001680,1595
E01001681,1345
E01001682,1412
E01001683,1597
E01001684,1426
E01001685,1605
E01001686,1802
E01001687,1287
E01001688,2829
E01001690,2120
E01001692,1517
E01001693,1785
E01001694,1920
E01001695,1519
E01001696,1302
E01001697,2459
E01001698,1931
E01001699,1604
E01001700,2098
E01001701,1729
E01001702,1681
E01001703,2003
E01001704,1645
E01001705,2144
E01001706,1374
E01001708,1653
E01001709,1210
E01001710,1819
E01001711,1414
E01001712,2221
E01001713,1695
E01032567,1636
E01033726,3274
E01033727,2890
E01033728,1790
E01033729,2830
E01033730,2219
E01033731,2409
E01033732,1121
E01033733,1561
E01033734,1961
E01033735,1217
E01033736,961
E01033737,1476
E01033738,1469
E01033739,1880
E01033740,1770
E01033741,1945
E01033742,1701
E01033743,2426
E01033744,1900
E01033745,1954
E01033746,1394
E01001714,1580
E01001715,1401
E01001716,1529
E01001717,1266
E01001718,1870
E01001719,1160
E01001720,1999
E01001722,2358
E01001723,2099
E01001724,2431
E01001725,1948
E01001726,1441
E01001727,1973
E01001728,2107
